Date,YEAR_1,Date,YEAR_2,Date,YEAR_3,Date,YEAR_4,Date,YEAR_5,Date,YEAR_6,Date,YEAR_7,Date,YEAR_8,Date,YEAR_9,Date,YEAR_10,Date,YEAR_15,Date,YEAR_20
31-01-02,3.559,31-01-02,3.938,31-01-02,4.158,31-01-02,4.463,31-01-02,4.597,31-01-02,4.72,31-01-02,4.85,31-01-02,4.935,31-01-02,4.962,31-01-02,4.974,31-01-02,5.215,31-01-02,5.24
28-02-02,3.572,28-02-02,3.931,28-02-02,4.175,28-02-02,4.465,28-02-02,4.589,28-02-02,4.742,28-02-02,4.874,28-02-02,4.979,28-02-02,5.019,28-02-02,5.048,28-02-02,5.308,28-02-02,5.357
29-03-02,3.928,29-03-02,4.358,29-03-02,4.619,29-03-02,4.858,29-03-02,4.964,29-03-02,5.088,29-03-02,5.21,29-03-02,5.286,29-03-02,5.319,29-03-02,5.332,29-03-02,5.574,29-03-02,5.619
30-04-02,3.731,30-04-02,4.114,30-04-02,4.381,30-04-02,4.635,30-04-02,4.776,30-04-02,4.919,30-04-02,5.055,30-04-02,5.143,30-04-02,5.188,30-04-02,5.216,30-04-02,5.497,30-04-02,5.543
31-05-02,3.953,31-05-02,4.3,31-05-02,4.511,31-05-02,4.729,31-05-02,4.868,31-05-02,4.988,31-05-02,5.11,31-05-02,5.192,31-05-02,5.22,31-05-02,5.259,31-05-02,5.511,31-05-02,5.553
28-06-02,3.696,28-06-02,3.984,28-06-02,4.174,28-06-02,4.411,28-06-02,4.573,28-06-02,4.713,28-06-02,4.864,28-06-02,4.961,28-06-02,4.996,28-06-02,5.046,28-06-02,5.304,28-06-02,5.326
31-07-02,3.435,31-07-02,3.642,31-07-02,3.862,31-07-02,4.125,31-07-02,4.298,31-07-02,4.457,31-07-02,4.621,31-07-02,4.736,31-07-02,4.799,31-07-02,4.843,31-07-02,5.176,31-07-02,5.226
30-08-02,3.36,30-08-02,3.518,30-08-02,3.731,30-08-02,3.922,30-08-02,4.084,30-08-02,4.249,30-08-02,4.428,30-08-02,4.551,30-08-02,4.62,30-08-02,4.661,30-08-02,4.979,30-08-02,5.044
30-09-02,3.049,30-09-02,3.074,30-09-02,3.298,30-09-02,3.494,30-09-02,3.65,30-09-02,3.868,30-09-02,4.075,30-09-02,4.22,30-09-02,4.319,30-09-02,4.387,30-09-02,4.805,30-09-02,4.906
31-10-02,3.042,31-10-02,3.108,31-10-02,3.379,31-10-02,3.638,31-10-02,3.858,31-10-02,4.068,31-10-02,4.276,31-10-02,4.436,31-10-02,4.562,31-10-02,4.654,31-10-02,5.032,31-10-02,5.125
29-11-02,2.949,29-11-02,3.153,29-11-02,3.427,29-11-02,3.677,29-11-02,3.89,29-11-02,4.088,29-11-02,4.278,29-11-02,4.439,29-11-02,4.545,29-11-02,4.631,29-11-02,5.008,29-11-02,5.223
31-12-02,2.657,31-12-02,2.737,31-12-02,3.015,31-12-02,3.277,31-12-02,3.505,31-12-02,3.728,31-12-02,3.938,31-12-02,4.127,31-12-02,4.26,31-12-02,4.359,31-12-02,4.754,31-12-02,5.011
31-01-03,2.471,31-01-03,2.522,31-01-03,2.754,31-01-03,3.008,31-01-03,3.226,31-01-03,3.418,31-01-03,3.616,31-01-03,3.791,31-01-03,3.911,31-01-03,3.985,31-01-03,4.38,31-01-03,4.632
28-02-03,2.208,28-02-03,2.253,28-02-03,2.48,28-02-03,2.741,28-02-03,2.959,28-02-03,3.193,28-02-03,3.425,28-02-03,3.62,28-02-03,3.768,28-02-03,3.868,28-02-03,4.333,28-02-03,4.637
31-03-03,2.251,31-03-03,2.339,31-03-03,2.65,31-03-03,2.929,31-03-03,3.159,31-03-03,3.37,31-03-03,3.602,31-03-03,3.783,31-03-03,3.918,31-03-03,4.007,31-03-03,4.467,31-03-03,4.777
30-04-03,2.263,30-04-03,2.383,30-04-03,2.684,30-04-03,2.971,30-04-03,3.208,30-04-03,3.406,30-04-03,3.648,30-04-03,3.831,30-04-03,3.97,30-04-03,4.076,30-04-03,4.513,30-04-03,4.831
30-05-03,2.029,30-05-03,2.101,30-05-03,2.358,30-05-03,2.606,30-05-03,2.834,30-05-03,3.071,30-05-03,3.289,30-05-03,3.476,30-05-03,3.618,30-05-03,3.734,30-05-03,4.227,30-05-03,4.556
30-06-03,1.933,30-06-03,2.076,30-06-03,2.376,30-06-03,2.68,30-06-03,2.929,30-06-03,3.158,30-06-03,3.371,30-06-03,3.564,30-06-03,3.716,30-06-03,3.834,30-06-03,4.301,30-06-03,4.676
31-07-03,2.105,31-07-03,2.43,31-07-03,2.794,31-07-03,3.117,31-07-03,3.364,31-07-03,3.586,31-07-03,3.779,31-07-03,3.941,31-07-03,4.066,31-07-03,4.181,31-07-03,4.614,31-07-03,4.959
29-08-03,2.241,29-08-03,2.595,29-08-03,2.948,29-08-03,3.257,29-08-03,3.473,29-08-03,3.663,29-08-03,3.843,29-08-03,3.992,29-08-03,4.106,29-08-03,4.191,29-08-03,4.547,29-08-03,4.87
30-09-03,2.008,30-09-03,2.26,30-09-03,2.604,30-09-03,2.916,30-09-03,3.155,30-09-03,3.38,30-09-03,3.591,30-09-03,3.768,30-09-03,3.91,30-09-03,4.029,30-09-03,4.456,30-09-03,4.844
31-10-03,2.284,31-10-03,2.673,31-10-03,3.025,31-10-03,3.344,31-10-03,3.573,31-10-03,3.792,31-10-03,3.983,31-10-03,4.134,31-10-03,4.248,31-10-03,4.328,31-10-03,4.677,31-10-03,5.022
28-11-03,2.392,28-11-03,2.831,28-11-03,3.191,28-11-03,3.511,28-11-03,3.738,28-11-03,3.955,28-11-03,4.137,28-11-03,4.281,28-11-03,4.387,28-11-03,4.469,28-11-03,4.756,28-11-03,5.089
31-12-03,2.196,31-12-03,2.581,31-12-03,2.963,31-12-03,3.291,31-12-03,3.534,31-12-03,3.763,31-12-03,3.962,31-12-03,4.123,31-12-03,4.239,31-12-03,4.329,31-12-03,4.634,31-12-03,4.986
30-01-04,2.177,30-01-04,2.538,30-01-04,2.912,30-01-04,3.23,30-01-04,3.463,30-01-04,3.701,30-01-04,3.91,30-01-04,4.08,30-01-04,4.201,30-01-04,4.297,30-01-04,4.633,30-01-04,5.017
27-02-04,1.978,27-02-04,2.267,27-02-04,2.636,27-02-04,2.95,27-02-04,3.211,27-02-04,3.458,27-02-04,3.683,27-02-04,3.873,27-02-04,4.021,27-02-04,4.133,27-02-04,4.509,27-02-04,4.936
31-03-04,1.896,31-03-04,2.142,31-03-04,2.507,31-03-04,2.824,31-03-04,3.091,31-03-04,3.335,31-03-04,3.569,31-03-04,3.767,31-03-04,3.923,31-03-04,4.034,31-03-04,4.434,31-03-04,4.882
30-04-04,2.152,30-04-04,2.483,30-04-04,2.857,30-04-04,3.175,30-04-04,3.439,30-04-04,3.661,30-04-04,3.872,30-04-04,4.055,30-04-04,4.199,30-04-04,4.288,30-04-04,4.631,30-04-04,5.013
31-05-04,2.276,31-05-04,2.666,31-05-04,3.046,31-05-04,3.366,31-05-04,3.638,31-05-04,3.872,31-05-04,4.075,31-05-04,4.249,31-05-04,4.389,31-05-04,4.479,31-05-04,4.805,31-05-04,5.164
30-06-04,2.328,30-06-04,2.736,30-06-04,3.113,30-06-04,3.405,30-06-04,3.653,30-06-04,3.865,30-06-04,4.053,30-06-04,4.216,30-06-04,4.346,30-06-04,4.432,30-06-04,4.725,30-06-04,5.043
30-07-04,2.289,30-07-04,2.668,30-07-04,3.028,30-07-04,3.311,30-07-04,3.555,30-07-04,3.766,30-07-04,3.954,30-07-04,4.113,30-07-04,4.246,30-07-04,4.331,30-07-04,4.629,30-07-04,4.946
31-08-04,2.221,31-08-04,2.483,31-08-04,2.828,31-08-04,3.103,31-08-04,3.334,31-08-04,3.542,31-08-04,3.741,31-08-04,3.91,31-08-04,4.049,31-08-04,4.141,31-08-04,4.46,31-08-04,4.792
30-09-04,2.326,30-09-04,2.593,30-09-04,2.867,30-09-04,3.136,30-09-04,3.345,30-09-04,3.541,30-09-04,3.725,30-09-04,3.885,30-09-04,4.019,30-09-04,4.106,30-09-04,4.42,30-09-04,4.74
