Date,PX_LAST
31-01-02,197.953
28-02-02,195.976
29-03-02,205.721
30-04-02,195.968
31-05-02,188.418
28-06-02,173.054
31-07-02,149.623
30-08-02,150.856
30-09-02,124.413
31-10-02,140.187
29-11-02,148.724
31-12-02,134.278
31-01-03,126.965
28-02-03,121.206
31-03-03,116.015
30-04-03,131.854
30-05-03,133.784
30-06-03,138.884
31-07-03,145.241
29-08-03,148.916
30-09-03,140.771
31-10-03,151.5
28-11-03,154.569
31-12-03,159.923
30-01-04,165.182
27-02-04,168.31
31-03-04,163.49
30-04-04,165.308
31-05-04,164.474
30-06-04,169.017
30-07-04,164.217
31-08-04,162.255
30-09-04,165.893
29-10-04,170.37
30-11-04,175.25
31-12-04,180.18
31-01-05,183.791
28-02-05,188.984
31-03-05,188.341
29-04-05,182.067
31-05-05,192.449
30-06-05,199.526
29-07-05,208.349
31-08-05,206.438
30-09-05,216.217
31-10-05,209.106
30-11-05,217.356
30-12-05,225.904
31-01-06,235.13
28-02-06,241.776
31-03-06,248.653
28-04-06,248.995
31-05-06,237.066
30-06-06,238.305
31-07-06,240.812
31-08-06,249.268
29-09-06,255.975
31-10-06,263.883
30-11-06,264.741
29-12-06,275.416
31-01-07,281.31
28-02-07,276.905
30-03-07,285.191
30-04-07,298.534
31-05-07,310.595
29-06-07,308.26
31-07-07,297.044
31-08-07,295.19
28-09-07,299.457
31-10-07,308.724
30-11-07,298.316
31-12-07,296.963
31-01-08,258.615
29-02-08,255.647
31-03-08,248.857
30-04-08,263.92
30-05-08,266.32
30-06-08,235.153
31-07-08,231.568
29-08-08,234.361
30-09-08,207.726
31-10-08,175.01
28-11-08,163.42
31-12-08,163.767
30-01-09,152.642
27-02-09,136.013
31-03-09,141.427
30-04-09,163.891
29-05-09,171.432
30-06-09,168.376
31-07-09,184.428
31-08-09,194.707
30-09-09,203.174
30-10-09,194.23
30-11-09,197.292
31-12-09,208.507
29-01-10,198.727
26-02-10,195.091
31-03-10,210.421
30-04-10,205.232
31-05-10,193.18
30-06-10,190.987
30-07-10,202.978
31-08-10,195.282
30-09-10,205.583
29-10-10,213.184
30-11-10,202.741
31-12-10,213.51
31-01-11,223.205
28-02-11,227.551
31-03-11,221.592
29-04-11,229.679
31-05-11,224.356
30-06-11,222.327
29-07-11,209.725
31-08-11,182.526
30-09-11,171.942
31-10-11,186.7
30-11-11,182.237
30-12-11,181.716
31-01-12,191.473
29-02-12,199.582
30-03-12,199.383
30-04-12,189.174
31-05-12,175.851
29-06-12,186.897
31-07-12,192.352
31-08-12,200.128
28-09-12,202.629
31-10-12,206.005
30-11-12,211.77
31-12-12,216.802
31-01-13,223.332
28-02-13,221.515
29-03-13,221.74
30-04-13,228.257
31-05-13,235.639
28-06-13,222.766
31-07-13,236.894
30-08-13,234.356
30-09-13,248.404
31-10-13,261.866
29-11-13,265.29
31-12-13,267.455
31-01-14,261.518
28-02-14,274.023
31-03-14,274.847
30-04-14,277.781
30-05-14,284.789
30-06-14,282.434
31-07-14,272.904
29-08-14,277.321
30-09-14,279.584
31-10-14,272.496
28-11-14,285.503
31-12-14,279.002
30-01-15,299.618
27-02-15,321.421
31-03-15,331.088
30-04-15,326.28
29-05-15,327.682
30-06-15,314.778
31-07-15,329.544
31-08-15,301.769
30-09-15,287.796
30-10-15,315.702
30-11-15,325.004
31-12-15,306.404
29-01-16,287.01
29-02-16,278.3
31-03-16,286.041
29-04-16,289.481
31-05-16,295.667
30-06-16,277.879
29-07-16,292.093
31-08-16,296.034
30-09-16,296.101
31-10-16,299.948
30-11-16,298.92
30-12-16,319.659
31-01-17,316.561
28-02-17,324.847
31-03-17,342.433
28-04-17,350.302
31-05-17,355.88
30-06-17,346.923
31-07-17,348.168
31-08-17,346.592
29-09-17,361.958
31-10-17,370.692
30-11-17,363.217
29-12-17,360.029
31-01-18,371.585
28-02-18,357.502
30-03-18,350.012
30-04-18,367.006
31-05-18,361.64
29-06-18,358.466
31-07-18,370.889
31-08-18,361.017
28-09-18,360.003
31-10-18,336.694
30-11-18,333.813
31-12-18,314.137
31-01-19,333.896
28-02-19,347.014
29-03-19,351.537
30-04-19,369.615
31-05-19,347.83
28-06-19,365.678
31-07-19,366.109
30-08-19,361.569
30-09-19,374.974
31-10-19,379.584
29-11-19,389.604
31-12-19,394.071
31-01-20,387.212
28-02-20,356.498
31-03-20,295.147
30-04-20,314.295
29-05-20,329.215
30-06-20,345.319
31-07-20,340.496
31-08-20,352.471
30-09-20,346.031
30-10-20,326.7
30-11-20,382.581
31-12-20,390.133
29-01-21,384.949
26-02-21,398.779
31-03-21,425.045
30-04-21,434.235
31-05-21,445.035
30-06-21,449.696
30-07-21,455.606
31-08-21,466.795
30-09-21,451.049
29-10-21,469.549
30-11-21,454.082
31-12-21,476.498
31-01-22,459.888
28-02-22,435.821
31-03-22,432.753
29-04-22,424.318
31-05-22,426.732
30-06-22,387.423
29-07-22,415.706
31-08-22,394.777
30-09-22,369.814
31-10-22,399.106
30-11-22,432.514
30-12-22,416.999
31-01-23,457.153
28-02-23,464.647
31-03-23,467.968
28-04-23,474.901
31-05-23,463.142
30-06-23,480.803
31-07-23,490.044
31-08-23,474.928
29-09-23,459.644
31-10-23,444.639
30-11-23,479.921
29-12-23,495.392
31-01-24,506.096
29-02-24,522.867
29-03-24,546.102
30-04-24,535.601
31-05-24,550.237
28-06-24,536.568
31-07-24,538.835
30-08-24,547.588
30-09-24,553.175
31-10-24,534.683
29-11-24,534.868
31-12-24,542.196
31-01-25,581.605
28-02-25,601.677
31-03-25,583.169
