Date,YEAR_1,Date,YEAR_2,Date,YEAR_3,Date,YEAR_4,Date,YEAR_5,Date,YEAR_6,Date,YEAR_7,Date,YEAR_8,Date,YEAR_9,Date,YEAR_10,Date,YEAR_15,Date,YEAR_20
31-01-02,2.495,31-01-02,3.534,31-01-02,4.282,31-01-02,4.806,31-01-02,5.167,31-01-02,5.423,31-01-02,5.611,31-01-02,5.767,31-01-02,5.894,31-01-02,5.993,31-01-02,6.396,31-01-02,6.456
28-02-02,2.433,28-02-02,3.446,28-02-02,4.13,28-02-02,4.577,28-02-02,4.899,28-02-02,5.162,28-02-02,5.368,28-02-02,5.524,28-02-02,5.643,28-02-02,5.761,28-02-02,6.177,28-02-02,6.328
29-03-02,3.008,29-03-02,4.197,29-03-02,4.835,29-03-02,5.272,29-03-02,5.598,29-03-02,5.823,29-03-02,6.006,29-03-02,6.146,29-03-02,6.251,29-03-02,6.347,29-03-02,6.669,29-03-02,6.758
30-04-02,2.638,30-04-02,3.697,30-04-02,4.346,30-04-02,4.778,30-04-02,5.094,30-04-02,5.35,30-04-02,5.548,30-04-02,5.699,30-04-02,5.823,30-04-02,5.931,30-04-02,6.318,30-04-02,6.449
31-05-02,2.595,31-05-02,3.589,31-05-02,4.199,31-05-02,4.607,31-05-02,4.912,31-05-02,5.16,31-05-02,5.369,31-05-02,5.532,31-05-02,5.668,31-05-02,5.781,31-05-02,6.264,31-05-02,6.454
28-06-02,2.289,28-06-02,3.245,28-06-02,3.917,28-06-02,4.349,28-06-02,4.663,28-06-02,4.925,28-06-02,5.13,28-06-02,5.307,28-06-02,5.474,28-06-02,5.592,28-06-02,6.081,28-06-02,6.315
31-07-02,2.092,31-07-02,2.867,31-07-02,3.56,31-07-02,4.049,31-07-02,4.423,31-07-02,4.735,31-07-02,4.977,31-07-02,5.184,31-07-02,5.35,31-07-02,5.489,31-07-02,6.06,31-07-02,6.337
30-08-02,1.897,30-08-02,2.455,30-08-02,2.982,30-08-02,3.421,30-08-02,3.794,30-08-02,4.098,30-08-02,4.344,30-08-02,4.545,30-08-02,4.714,30-08-02,4.852,30-08-02,5.442,30-08-02,5.705
30-09-02,1.725,30-09-02,2.194,30-09-02,2.677,30-09-02,3.061,30-09-02,3.397,30-09-02,3.693,30-09-02,3.952,30-09-02,4.161,30-09-02,4.344,30-09-02,4.507,30-09-02,5.129,30-09-02,5.459
31-10-02,1.637,31-10-02,2.177,31-10-02,2.707,31-10-02,3.146,31-10-02,3.507,31-10-02,3.843,31-10-02,4.124,31-10-02,4.376,31-10-02,4.585,31-10-02,4.778,31-10-02,5.502,31-10-02,5.841
29-11-02,1.729,29-11-02,2.47,29-11-02,3.069,29-11-02,3.5,29-11-02,3.841,29-11-02,4.14,29-11-02,4.391,29-11-02,4.606,29-11-02,4.781,29-11-02,4.942,29-11-02,5.596,29-11-02,5.911
31-12-02,1.45,31-12-02,1.925,31-12-02,2.459,31-12-02,2.891,31-12-02,3.252,31-12-02,3.575,31-12-02,3.853,31-12-02,4.085,31-12-02,4.278,31-12-02,4.461,31-12-02,5.148,31-12-02,5.479
31-01-03,1.451,31-01-03,2.014,31-01-03,2.617,31-01-03,3.094,31-01-03,3.489,31-01-03,3.81,31-01-03,4.073,31-01-03,4.292,31-01-03,4.483,31-01-03,4.657,31-01-03,5.324,31-01-03,5.622
28-02-03,1.381,28-02-03,1.859,28-02-03,2.391,28-02-03,2.84,28-02-03,3.211,28-02-03,3.528,28-02-03,3.799,28-02-03,4.02,28-02-03,4.215,28-02-03,4.393,28-02-03,5.086,28-02-03,5.425
31-03-03,1.28,31-03-03,1.768,31-03-03,2.362,31-03-03,2.858,31-03-03,3.28,31-03-03,3.619,31-03-03,3.9,31-03-03,4.134,31-03-03,4.336,31-03-03,4.523,31-03-03,5.215,31-03-03,5.552
30-04-03,1.357,30-04-03,1.844,30-04-03,2.424,30-04-03,2.923,30-04-03,3.338,30-04-03,3.668,30-04-03,3.941,30-04-03,4.161,30-04-03,4.351,30-04-03,4.523,30-04-03,5.168,30-04-03,5.46
30-05-03,1.211,30-05-03,1.453,30-05-03,1.857,30-05-03,2.259,30-05-03,2.637,30-05-03,2.966,30-05-03,3.244,30-05-03,3.481,30-05-03,3.686,30-05-03,3.868,30-05-03,4.574,30-05-03,4.944
30-06-03,1.19,30-06-03,1.544,30-06-03,2.007,30-06-03,2.426,30-06-03,2.812,30-06-03,3.144,30-06-03,3.432,30-06-03,3.673,30-06-03,3.875,30-06-03,4.059,30-06-03,4.778,30-06-03,5.161
31-07-03,1.266,31-07-03,1.855,31-07-03,2.554,31-07-03,3.179,31-07-03,3.678,31-07-03,4.066,31-07-03,4.374,31-07-03,4.625,31-07-03,4.832,31-07-03,5.006,31-07-03,5.634,31-07-03,5.94
29-08-03,1.43,29-08-03,2.243,29-08-03,2.979,29-08-03,3.545,29-08-03,4.01,29-08-03,4.358,29-08-03,4.635,29-08-03,4.861,29-08-03,5.048,29-08-03,5.217,29-08-03,5.786,29-08-03,6.04
30-09-03,1.3,30-09-03,1.875,30-09-03,2.493,30-09-03,3.015,30-09-03,3.451,30-09-03,3.804,30-09-03,4.101,30-09-03,4.342,30-09-03,4.547,30-09-03,4.731,30-09-03,5.375,30-09-03,5.694
31-10-03,1.48,31-10-03,2.213,31-10-03,2.85,31-10-03,3.368,31-10-03,3.801,31-10-03,4.133,31-10-03,4.406,31-10-03,4.638,31-10-03,4.834,31-10-03,5.01,31-10-03,5.611,31-10-03,5.885
28-11-03,1.562,28-11-03,2.345,28-11-03,2.952,28-11-03,3.422,28-11-03,3.797,28-11-03,4.095,28-11-03,4.333,28-11-03,4.54,28-11-03,4.718,28-11-03,4.88,28-11-03,5.478,28-11-03,5.751
31-12-03,1.457,31-12-03,2.176,31-12-03,2.813,31-12-03,3.334,31-12-03,3.755,31-12-03,4.071,31-12-03,4.325,31-12-03,4.543,31-12-03,4.737,31-12-03,4.902,31-12-03,5.478,31-12-03,5.749
30-01-04,1.476,30-01-04,2.225,30-01-04,2.835,30-01-04,3.316,30-01-04,3.697,30-01-04,4.006,30-01-04,4.254,30-01-04,4.474,30-01-04,4.67,30-01-04,4.829,30-01-04,5.413,30-01-04,5.684
27-02-04,1.367,27-02-04,1.996,27-02-04,2.578,27-02-04,3.07,27-02-04,3.46,27-02-04,3.785,27-02-04,4.054,27-02-04,4.28,27-02-04,4.48,27-02-04,4.649,27-02-04,5.275,27-02-04,5.575
31-03-04,1.352,31-03-04,1.937,31-03-04,2.476,31-03-04,2.933,31-03-04,3.305,31-03-04,3.631,31-03-04,3.895,31-03-04,4.125,31-03-04,4.313,31-03-04,4.483,31-03-04,5.143,31-03-04,5.464
30-04-04,1.833,30-04-04,2.706,30-04-04,3.361,30-04-04,3.859,30-04-04,4.234,30-04-04,4.519,30-04-04,4.759,30-04-04,4.957,30-04-04,5.117,30-04-04,5.257,30-04-04,5.777,30-04-04,6.014
31-05-04,2.061,31-05-04,2.974,31-05-04,3.584,31-05-04,4.043,31-05-04,4.4,31-05-04,4.683,31-05-04,4.91,31-05-04,5.097,31-05-04,5.255,31-05-04,5.389,31-05-04,5.868,31-05-04,6.078
30-06-04,2.466,30-06-04,3.274,30-06-04,3.791,30-06-04,4.184,30-06-04,4.494,30-06-04,4.747,30-06-04,4.957,30-06-04,5.138,30-06-04,5.282,30-06-04,5.409,30-06-04,5.881,30-06-04,6.104
30-07-04,2.437,30-07-04,3.184,30-07-04,3.684,30-07-04,4.068,30-07-04,4.377,30-07-04,4.629,30-07-04,4.842,30-07-04,4.999,30-07-04,5.163,30-07-04,5.295,30-07-04,5.769,30-07-04,5.999
31-08-04,2.302,31-08-04,2.866,31-08-04,3.278,31-08-04,3.616,31-08-04,3.936,31-08-04,4.162,31-08-04,4.39,31-08-04,4.57,31-08-04,4.711,31-08-04,4.854,31-08-04,5.38,31-08-04,5.67
30-09-04,2.485,30-09-04,2.993,30-09-04,3.342,30-09-04,3.627,30-09-04,3.868,30-09-04,4.081,30-09-04,4.268,30-09-04,4.425,30-09-04,4.572,30-09-04,4.697,30-09-04,5.216,30-09-04,5.488
29-10-04,2.548,29-10-04,2.965,29-10-04,3.3,29-10-04,3.582,29-10-04,3.826,29-10-04,4.043,29-10-04,4.236,29-10-04,4.395,29-10-04,4.551,29-10-04,4.68,29-10-04,5.196,29-10-04,5.459
30-11-04,2.983,30-11-04,3.46,30-11-04,3.732,30-11-04,3.965,30-11-04,4.176,30-11-04,4.358,30-11-04,4.515,30-11-04,4.651,30-11-04,4.789,30-11-04,4.904,30-11-04,5.356,30-11-04,5.594
31-12-04,3.103,31-12-04,3.494,31-12-04,3.737,31-12-04,3.941,31-12-04,4.13,31-12-04,4.301,31-12-04,4.453,31-12-04,4.598,31-12-04,4.727,31-12-04,4.843,31-12-04,5.286,31-12-04,5.502
31-01-05,3.264,31-01-05,3.68,31-01-05,3.866,31-01-05,4.035,31-01-05,4.17,31-01-05,4.299,31-01-05,4.4,31-01-05,4.508,31-01-05,4.588,31-01-05,4.666,31-01-05,5.005,31-01-05,5.172
28-02-05,3.534,28-02-05,3.922,28-02-05,4.113,28-02-05,4.242,28-02-05,4.351,28-02-05,4.444,28-02-05,4.54,28-02-05,4.623,28-02-05,4.704,28-02-05,4.774,28-02-05,5.061,28-02-05,5.208
31-03-05,3.85,31-03-05,4.316,31-03-05,4.543,31-03-05,4.686,31-03-05,4.785,31-03-05,4.872,31-03-05,4.953,31-03-05,5.019,31-03-05,5.081,31-03-05,5.126,31-03-05,5.361,31-03-05,5.467
