,r,VaR,ES,hit
2007-02-28,-0.015782777025443565,-0.10624338536826013,-0.11856331424892073,0
2007-03-31,0.029484644165770443,-0.10486452866672007,-0.11702698867131155,0
2007-04-30,0.045724697953820656,-0.1035482670190928,-0.11558814154719584,0
2007-05-31,0.039605983516142904,-0.10538407911518143,-0.11745638282284017,0
2007-06-30,-0.00754622999136042,-0.10655927731711952,-0.11861443513493794,0
2007-07-31,-0.03706330674057922,-0.10522144220236951,-0.11695386719125063,0
2007-08-31,-0.006261059164212696,-0.10341286008569468,-0.11470155861286609,0
2007-09-30,0.014351617813151798,-0.1018126289578359,-0.11293453186808865,0
2007-10-31,0.030476839243032183,-0.09721419656428207,-0.10734820900435497,0
2007-11-30,-0.03429434650978219,-0.09279970974500304,-0.1025737782661882,0
2007-12-31,-0.0045457754426866965,-0.0908145724101896,-0.10053607586488698,0
2008-01-31,-0.13826708262157264,-0.08909964982270832,-0.09841098596739323,1
2008-02-29,-0.01154288263243253,-0.10823520964579503,-0.12006323133400094,0
2008-03-31,-0.02691915235933456,-0.10713594093307165,-0.11875771645121053,0
2008-04-30,0.058767592616168804,-0.10642897134679906,-0.1179295125051585,0
2008-05-31,0.009052566346443405,-0.10473916509974582,-0.11617388418337128,0
2008-06-30,-0.1244622271429316,-0.10329164676630519,-0.11455992513194964,1
2008-07-31,-0.01536279922858915,-0.11468258993803526,-0.12767992661376718,0
2008-08-31,0.011989094711986384,-0.11199776124925351,-0.1247885686235371,0
2008-09-30,-0.12064275801073118,-0.11024786608777776,-0.12285050528050989,1
2008-10-31,-0.17137678844843807,-0.12061032983490391,-0.1346164195296306,1
2008-11-30,-0.06851954119150473,-0.13770850095865317,-0.15431374423675875,0
2008-12-31,0.002121111964102716,-0.13760156302801088,-0.15437485448327679,0
2009-01-31,-0.07034937558116074,-0.1348690689167492,-0.1513723261419157,0
2009-02-28,-0.11534484093642135,-0.1346698999572889,-0.1513587887096097,0
2009-03-31,0.03903321349740034,-0.1398865235163974,-0.15748992377818735,0
2009-04-30,0.1474178898101868,-0.1398277523888059,-0.15728466948294348,0
2009-05-31,0.044985113810111936,-0.1546082680385438,-0.1736002154578431,0
2009-06-30,-0.017987112683910202,-0.15441644604968138,-0.17328249304690124,0
2009-07-31,0.09105956957630447,-0.15147324162395515,-0.1700706055010856,0
2009-08-31,0.05423672106651137,-0.15652535406810358,-0.17549755481937795,0
2009-09-30,0.04256689028208256,-0.1571889537641767,-0.17610707299127162,0
2009-10-31,-0.04501973091772777,-0.15633071941831164,-0.17510179922827285,0
2009-11-30,0.015641840972698846,-0.1540832483136029,-0.1727250595798044,0
2009-12-31,0.055287749000037315,-0.1516548570040246,-0.17002441388229225,0
2010-01-31,-0.048040590249230915,-0.15181859258772543,-0.17015190299490893,0
2010-02-28,-0.01846590719215745,-0.14993994575840489,-0.1681815490491442,0
2010-03-31,0.07564416939342178,-0.14706812501434904,-0.1650520457238986,0
2010-04-30,-0.024969239211316118,-0.15006293273037022,-0.1682526965947693,0
2010-05-31,-0.06051864980634503,-0.14827019599186603,-0.1662217207616144,0
2010-06-30,-0.011417033848124541,-0.1462986099409551,-0.16424538916882123,0
2010-07-31,0.06089223588159762,-0.14324134496289473,-0.16091014025464365,0
2010-08-31,-0.03865293104814467,-0.14373039657178488,-0.16142316596598075,0
2010-09-30,0.0514051776010503,-0.1420946998873316,-0.15964694211117295,0
2010-10-31,0.03630579723368578,-0.14163285138887635,-0.15911793491885134,0
2010-11-30,-0.05022634020335812,-0.1414469541998612,-0.15876656141953402,0
2010-12-31,0.05175436761143315,-0.1394563687207911,-0.15671356293601257,0
2011-01-31,0.044406961710650034,-0.13929269285211068,-0.1565028396222574,0
2011-02-28,0.019283757401596192,-0.13847600351143932,-0.15557696592030018,0
2011-03-31,-0.026536535953098933,-0.1364057351097775,-0.1532701921779544,0
2011-04-30,0.03584482878122968,-0.13384322395487283,-0.15050484182856186,0
2011-05-31,-0.02344860592838631,-0.1333184828404226,-0.14984519532806445,0
2011-06-30,-0.009084804906614164,-0.13183226167687523,-0.14812412119676108,0
2011-07-31,-0.0583521223523074,-0.12964703125267907,-0.14569995240052785,0
2011-08-31,-0.13890452010366908,-0.1291138888435263,-0.14524214030191476,1
2011-09-30,-0.05973541798540313,-0.13817563600815572,-0.1557707026035424,0
2011-10-31,0.08234583990439077,-0.13698511105105615,-0.15461056253951339,0
2011-11-30,-0.024195012792905955,-0.14027158231698744,-0.15819416897823954,0
2011-12-31,-0.0028630089922521093,-0.13801030122350583,-0.15571150035238507,0
2012-01-31,0.052301777750750095,-0.13495333698227857,-0.15236608236431914,0
2012-02-29,0.041478372936879906,-0.1352118307288777,-0.15259263160562192,0
2012-03-31,-0.0009975813241923223,-0.13521953412131185,-0.15248415724731954,0
2012-04-30,-0.05256037167008684,-0.13248553438271493,-0.14947697568066404,0
2012-05-31,-0.07303018088727627,-0.1305144547142002,-0.14746502909522216,0
2012-06-30,0.06092061739973314,-0.13021769269191144,-0.14736223524086423,0
2012-07-31,0.028769363888424954,-0.13189976071835857,-0.14911069197171362,0
2012-08-31,0.039630134978624484,-0.1313138899544467,-0.1483182645515024,0
2012-09-30,0.012419558926293687,-0.13112066186873508,-0.14800745569364393,0
2012-10-31,0.01652371957801511,-0.1290976921641703,-0.1457401683947421,0
2012-11-30,0.027600339735805682,-0.12690766062915823,-0.1433099046887256,0
2012-12-31,0.0234837145397006,-0.12635148620826814,-0.142558872938201,0
2013-01-31,0.02967495893463579,-0.12524139020168734,-0.14125520801489003,0
2013-02-28,-0.008169146267244982,-0.1243580387116352,-0.13991993483235757,0
2013-03-31,0.0010152170616236997,-0.1225338458446052,-0.13786496672420798,0
2013-04-30,0.028966662787668577,-0.12101785399997207,-0.1361057868551879,0
2013-05-31,0.03182878575093744,-0.11889598142395078,-0.13378446237536645,0
2013-06-30,-0.056179079706338335,-0.11827198190174165,-0.1330372953995486,0
2013-07-31,0.061490890525274976,-0.11814888886188483,-0.13275942796003867,0
2013-08-31,-0.010771456929819413,-0.12076572690263479,-0.13554021996883076,0
2013-09-30,0.05821512621732344,-0.11864479445964148,-0.13320555046358237,0
2013-10-31,0.05277646955480631,-0.1207221675008359,-0.1351720299856797,0
2013-11-30,0.012990644711695074,-0.12100351115320379,-0.1350294138554905,0
2013-12-31,0.00812776062994766,-0.12011513094630644,-0.13386528432747488,0
2014-01-31,-0.022448213097643263,-0.11858075533156069,-0.1321303159533084,0
2014-02-28,0.046708929682952295,-0.11744290288202056,-0.13075484223679015,0
2014-03-31,0.003002534731519721,-0.11854375162163713,-0.13165932475054398,0
2014-04-30,0.0106184542502632,-0.1161046159866235,-0.12899454348121575,0
2014-05-31,0.0249155217436114,-0.10893056777282895,-0.12121987080981526,0
2014-06-30,-0.00830366022384015,-0.10738019847723823,-0.11952028281344512,0
2014-07-31,-0.03432480998203321,-0.10606376497852024,-0.11802248294530203,0
2014-08-31,0.016055595019850308,-0.1023401778273289,-0.11409838144802127,0
2014-09-30,0.00812710410530236,-0.10002844488214765,-0.11158103696557309,0
2014-10-31,-0.025678849019204083,-0.09778949446491055,-0.1091377546505189,0
2014-11-30,0.046628601825288045,-0.09707795649093005,-0.10829933275537809,0
2014-12-31,-0.023033586667314365,-0.09854170924923174,-0.1098793439731021,0
2015-01-31,0.07128937969068234,-0.09588272050551302,-0.10705423025926385,0
2015-02-28,0.07024346036502432,-0.1015812221505646,-0.11320800194627774,0
2015-03-31,0.029632410759312566,-0.10669466464830736,-0.11876754497371599,0
2015-04-30,-0.014628292637093514,-0.10439775030408943,-0.11628285464814388,0
2015-05-31,0.004287717475707414,-0.10322498769556798,-0.11494501286429554,0
2015-06-30,-0.04017599744863116,-0.10225601810961173,-0.11372456994463935,0
2015-07-31,0.04584225222810463,-0.10207121212267024,-0.11357590778079707,0
2015-08-31,-0.08804805666071372,-0.10201210310916073,-0.11354032814942472,0
2015-09-30,-0.04740992821081797,-0.10752522280731452,-0.11983108067604106,0
2015-10-31,0.09254683485613689,-0.10618293827834867,-0.11852618241954285,0
2015-11-30,0.029038759274140718,-0.11366427390909543,-0.1268106302626312,0
2015-12-31,-0.05893299733479632,-0.1137783071073285,-0.12677652772470577,0
2016-01-31,-0.06538743425332429,-0.11319612352936834,-0.1263492977670771,0
2016-02-29,-0.030817389826340493,-0.11341478180917437,-0.12681936668907326,0
2016-03-31,0.027435488656782504,-0.11174911371135028,-0.1250517569857125,0
2016-04-30,0.01195450727341705,-0.11160485439351062,-0.12477939790079771,0
2016-05-31,0.021144156574505593,-0.10952419086762186,-0.12249225018054499,0
2016-06-30,-0.062048053894032514,-0.10901274776397696,-0.12182682912549078,0
2016-07-31,0.04988647756827209,-0.11020034001409183,-0.12326850106958306,0
2016-08-31,0.013402067881672095,-0.1122210993803333,-0.12531586514754334,0
2016-09-30,0.00022629974680071356,-0.11034109627246522,-0.12289360710882229,0
2016-10-31,0.012908513959646858,-0.1092260957082629,-0.12151912086955925,0
2016-11-30,-0.0034331472368199297,-0.10561849248318254,-0.1176108021836008,0
2016-12-31,0.06707882354968071,-0.10440241459535866,-0.11620301407662488,0
2017-01-31,-0.009738846580783632,-0.10872966608710694,-0.12091826811620787,0
2017-02-28,0.02583834622135729,-0.1058428731784276,-0.11780409200688659,0
2017-03-31,0.05272171587580648,-0.10451362033616822,-0.11634369671098785,0
2017-04-30,0.022719621450942248,-0.10682228843734622,-0.118825818116026,0
2017-05-31,0.015797955797474145,-0.10667295529758355,-0.11850417875949272,0
2017-06-30,-0.02549074207089391,-0.10605681624527591,-0.11763073296122321,0
2017-07-31,0.003582268599038094,-0.10324798502544655,-0.11465393481912395,0
2017-08-31,-0.004536826251384204,-0.10129264764647128,-0.11251014637698159,0
2017-09-30,0.04337988734191262,-0.0989182192175353,-0.10993465564394492,0
2017-10-31,0.023843346135484608,-0.10014383220288661,-0.11124735539039657,0
2017-11-30,-0.020371077331559233,-0.09948238166075178,-0.11048975644645556,0
2017-12-31,-0.00881586803787785,-0.09765615826649046,-0.10853753106282141,0
2018-01-31,0.03159305637873835,-0.09576524188776266,-0.10648061773443197,0
2018-02-28,-0.038636683616016965,-0.09546320010773199,-0.10613758448410834,0
2018-03-31,-0.021173516914004705,-0.0953456958322923,-0.1060679784037227,0
2018-04-30,0.04741075708476891,-0.0941721661315699,-0.10479581227377666,0
