,r,VaR,ES,hit
2007-02-28,-0.015782777025443565,-0.19271906297173808,-0.19271906297173808,0
2007-03-31,0.029484644165770443,-0.19271906297173808,-0.19271906297173808,0
2007-04-30,0.045724697953820656,-0.19271906297173808,-0.19271906297173808,0
2007-05-31,0.039605983516142904,-0.19271906297173808,-0.19271906297173808,0
2007-06-30,-0.00754622999136042,-0.19271906297173808,-0.19271906297173808,0
2007-07-31,-0.03706330674057922,-0.19271906297173808,-0.19271906297173808,0
2007-08-31,-0.006261059164212696,-0.19271906297173808,-0.19271906297173808,0
2007-09-30,0.014351617813151798,-0.19271906297173808,-0.19271906297173808,0
2007-10-31,0.030476839243032183,-0.10217996148214065,-0.10217996148214065,0
2007-11-30,-0.03429434650978219,-0.10217996148214065,-0.10217996148214065,0
2007-12-31,-0.0045457754426866965,-0.10217996148214065,-0.10217996148214065,0
2008-01-31,-0.13826708262157264,-0.05624793198372587,-0.05624793198372587,1
2008-02-29,-0.01154288263243253,-0.13826708262157264,-0.13826708262157264,0
2008-03-31,-0.02691915235933456,-0.13826708262157264,-0.13826708262157264,0
2008-04-30,0.058767592616168804,-0.13826708262157264,-0.13826708262157264,0
2008-05-31,0.009052566346443405,-0.13826708262157264,-0.13826708262157264,0
2008-06-30,-0.1244622271429316,-0.13826708262157264,-0.13826708262157264,0
2008-07-31,-0.01536279922858915,-0.13826708262157264,-0.13826708262157264,0
2008-08-31,0.011989094711986384,-0.13826708262157264,-0.13826708262157264,0
2008-09-30,-0.12064275801073118,-0.13826708262157264,-0.13826708262157264,0
2008-10-31,-0.17137678844843807,-0.13826708262157264,-0.13826708262157264,1
2008-11-30,-0.06851954119150473,-0.17137678844843807,-0.17137678844843807,0
2008-12-31,0.002121111964102716,-0.17137678844843807,-0.17137678844843807,0
2009-01-31,-0.07034937558116074,-0.17137678844843807,-0.17137678844843807,0
2009-02-28,-0.11534484093642135,-0.17137678844843807,-0.17137678844843807,0
2009-03-31,0.03903321349740034,-0.17137678844843807,-0.17137678844843807,0
2009-04-30,0.1474178898101868,-0.17137678844843807,-0.17137678844843807,0
2009-05-31,0.044985113810111936,-0.17137678844843807,-0.17137678844843807,0
2009-06-30,-0.017987112683910202,-0.17137678844843807,-0.17137678844843807,0
2009-07-31,0.09105956957630447,-0.17137678844843807,-0.17137678844843807,0
2009-08-31,0.05423672106651137,-0.17137678844843807,-0.17137678844843807,0
2009-09-30,0.04256689028208256,-0.17137678844843807,-0.17137678844843807,0
2009-10-31,-0.04501973091772777,-0.17137678844843807,-0.17137678844843807,0
2009-11-30,0.015641840972698846,-0.17137678844843807,-0.17137678844843807,0
2009-12-31,0.055287749000037315,-0.17137678844843807,-0.17137678844843807,0
2010-01-31,-0.048040590249230915,-0.17137678844843807,-0.17137678844843807,0
2010-02-28,-0.01846590719215745,-0.17137678844843807,-0.17137678844843807,0
2010-03-31,0.07564416939342178,-0.17137678844843807,-0.17137678844843807,0
2010-04-30,-0.024969239211316118,-0.17137678844843807,-0.17137678844843807,0
2010-05-31,-0.06051864980634503,-0.17137678844843807,-0.17137678844843807,0
2010-06-30,-0.011417033848124541,-0.17137678844843807,-0.17137678844843807,0
2010-07-31,0.06089223588159762,-0.17137678844843807,-0.17137678844843807,0
2010-08-31,-0.03865293104814467,-0.17137678844843807,-0.17137678844843807,0
2010-09-30,0.0514051776010503,-0.17137678844843807,-0.17137678844843807,0
2010-10-31,0.03630579723368578,-0.17137678844843807,-0.17137678844843807,0
2010-11-30,-0.05022634020335812,-0.17137678844843807,-0.17137678844843807,0
