,r,VaR,ES,hit
2007-02-28,-0.015782777025443565,-0.25938027861970503,-0.45191716428785506,0
2007-03-31,0.029484644165770443,-0.25395732147287303,-0.4340646806745354,0
2007-04-30,0.045724697953820656,-0.26581510918369755,-0.4755485663384467,0
2007-05-31,0.039605983516142904,-0.28043596428476136,-0.5434459153863401,0
2007-06-30,-0.00754622999136042,-0.2523336045091933,-0.4843547180915715,0
2007-07-31,-0.03706330674057922,-0.25531025983881955,-0.49104877314906686,0
2007-08-31,-0.006261059164212696,-0.2327117675194223,-0.4067644540069605,0
2007-09-30,0.014351617813151798,-0.218330387753713,-0.3605701075895914,0
2007-10-31,0.030476839243032183,-0.15761841285873127,-0.21572521775525483,0
2007-11-30,-0.03429434650978219,-0.14290217826667212,-0.18903904896537055,0
2007-12-31,-0.0045457754426866965,-0.1325218059814753,-0.16815463003630934,0
2008-01-31,-0.13826708262157264,-0.11222317660558619,-0.13307343503855087,1
2008-02-29,-0.01154288263243253,-0.14952598022358835,-0.20703657357056252,0
2008-03-31,-0.02691915235933456,-0.1466374728126143,-0.2031502455181575,0
2008-04-30,0.058767592616168804,-0.14328712094445936,-0.19675429095549601,0
2008-05-31,0.009052566346443405,-0.12375314709343033,-0.15790374130279583,0
2008-06-30,-0.1244622271429316,-0.12300477715731033,-0.15643667582021814,1
2008-07-31,-0.01536279922858915,-0.1476600697625174,-0.20483544388170039,0
2008-08-31,0.011989094711986384,-0.1416659812906701,-0.1926055457172277,0
2008-09-30,-0.12064275801073118,-0.1407892285063784,-0.19126551555176843,0
2008-10-31,-0.17137678844843807,-0.16300461112574913,-0.24021158698747078,1
2008-11-30,-0.06851954119150473,-0.19966337399985518,-0.33329312163536556,0
2008-12-31,0.002121111964102716,-0.2011269458481163,-0.32873437545064127,0
2009-01-31,-0.07034937558116074,-0.1976617941848836,-0.3216571238771269,0
2009-02-28,-0.11534484093642135,-0.19901811184455687,-0.3195733804962914,0
2009-03-31,0.03903321349740034,-0.2145656918729949,-0.35147537345092195,0
2009-04-30,0.1474178898101868,-0.2266742460454791,-0.3860989471918471,0
2009-05-31,0.044985113810111936,-0.2543366535722815,-0.452668735882853,0
2009-06-30,-0.017987112683910202,-0.2608055787852986,-0.4680065267151516,0
2009-07-31,0.09105956957630447,-0.24465067056037715,-0.41719611076749596,0
2009-08-31,0.05423672106651137,-0.2643113948326239,-0.46889180844076844,0
2009-09-30,0.04256689028208256,-0.27402100897676007,-0.49434132201166725,0
2009-10-31,-0.04501973091772777,-0.26946447413116786,-0.4754835359386364,0
2009-11-30,0.015641840972698846,-0.24991160424838113,-0.41071647434805686,0
2009-12-31,0.055287749000037315,-0.2499005737059988,-0.412136454452636,0
2010-01-31,-0.048040590249230915,-0.24465458669134058,-0.3927648535117436,0
2010-02-28,-0.01846590719215745,-0.22800022451321242,-0.34429633303886364,0
2010-03-31,0.07564416939342178,-0.21876949007215732,-0.3219723014810754,0
2010-04-30,-0.024969239211316118,-0.219047307006708,-0.31604797974530774,0
2010-05-31,-0.06051864980634503,-0.22104442921524936,-0.32159793235910383,0
2010-06-30,-0.011417033848124541,-0.21126143994295446,-0.2986725503385188,0
2010-07-31,0.06089223588159762,-0.20791434433451417,-0.29306223041390544,0
2010-08-31,-0.03865293104814467,-0.20646579613760357,-0.2880018867786458,0
2010-09-30,0.0514051776010503,-0.1994101253751918,-0.27097536250837256,0
2010-10-31,0.03630579723368578,-0.19896547584276197,-0.2695557919530066,0
2010-11-30,-0.05022634020335812,-0.20735949995034977,-0.2870882186533004,0
2010-12-31,0.05175436761143315,-0.1965473052466897,-0.2635115041446062,0
2011-01-31,0.044406961710650034,-0.19533359330396488,-0.259860154633693,0
2011-02-28,0.019283757401596192,-0.19491884812081708,-0.2586402175911576,0
2011-03-31,-0.026536535953098933,-0.19529768280532767,-0.2599633717339267,0
2011-04-30,0.03584482878122968,-0.18977598124419823,-0.2493444635467122,0
2011-05-31,-0.02344860592838631,-0.189537500344013,-0.2471583800033289,0
2011-06-30,-0.009084804906614164,-0.1939273038279682,-0.2574628765609086,0
2011-07-31,-0.0583521223523074,-0.19208609305072316,-0.2537637570860965,0
2011-08-31,-0.13890452010366908,-0.18294492820354838,-0.2337729401098929,0
2011-09-30,-0.05973541798540313,-0.18682337813825545,-0.23772825459424396,0
2011-10-31,0.08234583990439077,-0.17699111838577616,-0.2189082926938553,0
2011-11-30,-0.024195012792905955,-0.17499307783087067,-0.212335070593556,0
2011-12-31,-0.0028630089922521093,-0.17244747765317212,-0.20794823194570686,0
2012-01-31,0.052301777750750095,-0.17338638898698167,-0.21116231556835957,0
2012-02-29,0.041478372936879906,-0.17142412484525504,-0.20610947000750393,0
2012-03-31,-0.0009975813241923223,-0.17171355348644052,-0.20504905984695374,0
2012-04-30,-0.05256037167008684,-0.17183213572158926,-0.20614428052057934,0
2012-05-31,-0.07303018088727627,-0.16702487948365186,-0.19901318616109281,0
2012-06-30,0.06092061739973314,-0.16038347502683684,-0.1881435362097288,0
2012-07-31,0.028769363888424954,-0.15901186300971692,-0.1836671649388666,0
2012-08-31,0.039630134978624484,-0.16147357189399764,-0.18694594396063777,0
2012-09-30,0.012419558926293687,-0.1613115437781035,-0.1856069798594066,0
2012-10-31,0.01652371957801511,-0.16130823491751886,-0.18564206764836635,0
2012-11-30,0.027600339735805682,-0.1615652152549881,-0.1864380404458335,0
2012-12-31,0.0234837145397006,-0.16435990135432144,-0.19035701827705345,0
2013-01-31,0.02967495893463579,-0.16481561990088942,-0.190585831477276,0
2013-02-28,-0.008169146267244982,-0.16779042293839813,-0.19769138482552498,0
2013-03-31,0.0010152170616236997,-0.16805152460561718,-0.1981233660135757,0
2013-04-30,0.028966662787668577,-0.17055108834231406,-0.20239070916656157,0
2013-05-31,0.03182878575093744,-0.17164460884259028,-0.20562427403525088,0
2013-06-30,-0.056179079706338335,-0.17158370777885035,-0.20481612577075586,0
2013-07-31,0.061490890525274976,-0.16756877199434989,-0.20014369227805132,0
2013-08-31,-0.010771456929819413,-0.16875348550976943,-0.20002933326124536,0
2013-09-30,0.05821512621732344,-0.1675561157999738,-0.19821793463376114,0
2013-10-31,0.05277646955480631,-0.16769872994927118,-0.19945131734789065,0
2013-11-30,0.012990644711695074,-0.14648524700215435,-0.16599455553010284,0
2013-12-31,0.00812776062994766,-0.1496558942933245,-0.1720358490243476,0
2014-01-31,-0.022448213097643263,-0.1498924720326123,-0.17237782679569125,0
2014-02-28,0.046708929682952295,-0.15124486210755908,-0.17583333634702794,0
2014-03-31,0.003002534731519721,-0.14569968598428065,-0.1681328994773432,0
2014-04-30,0.0106184542502632,-0.14494815691457147,-0.16758325648760455,0
2014-05-31,0.0249155217436114,-0.12876904916065313,-0.14566318852473867,0
2014-06-30,-0.00830366022384015,-0.12834469376304863,-0.1454818645532638,0
2014-07-31,-0.03432480998203321,-0.12873676161438596,-0.14615092503417484,0
2014-08-31,0.016055595019850308,-0.1233666898467027,-0.1399222518215793,0
2014-09-30,0.00812710410530236,-0.12239616450926755,-0.13937406515036888,0
2014-10-31,-0.025678849019204083,-0.12159439753617708,-0.13885221971917383,0
2014-11-30,0.046628601825288045,-0.12205968000114287,-0.13993874473089657,0
2014-12-31,-0.023033586667314365,-0.1227311474007471,-0.14019949868202883,0
2015-01-31,0.07128937969068234,-0.12043038036729756,-0.13774619653806378,0
2015-02-28,0.07024346036502432,-0.12410637341925096,-0.14224255942179026,0
2015-03-31,0.029632410759312566,-0.1269900020774145,-0.14510463787305497,0
2015-04-30,-0.014628292637093514,-0.1252882221377474,-0.1439805796383733,0
2015-05-31,0.004287717475707414,-0.12575183064123385,-0.14486008567217082,0
2015-06-30,-0.04017599744863116,-0.12695280423013813,-0.1479675214886872,0
2015-07-31,0.04584225222810463,-0.12593893393909072,-0.14572617747711078,0
2015-08-31,-0.08804805666071372,-0.12546253984238584,-0.14554499458127845,0
2015-09-30,-0.04740992821081797,-0.12996936290016992,-0.1516483558479299,0
2015-10-31,0.09254683485613689,-0.12623895522776465,-0.14601606006515389,0
2015-11-30,0.029038759274140718,-0.12958109846980737,-0.1492732443474369,0
2015-12-31,-0.05893299733479632,-0.13303567832044033,-0.1553733046298414,0
2016-01-31,-0.06538743425332429,-0.1295102910988343,-0.14970613830559792,0
2016-02-29,-0.030817389826340493,-0.12628843006029722,-0.14439209781879433,0
2016-03-31,0.027435488656782504,-0.12426774592186501,-0.1412867878435131,0
2016-04-30,0.01195450727341705,-0.12615714432515843,-0.14393811867718495,0
2016-05-31,0.021144156574505593,-0.12583650667462562,-0.14397562631210567,0
2016-06-30,-0.062048053894032514,-0.1277513613632545,-0.1468502254438528,0
2016-07-31,0.04988647756827209,-0.12540165311802615,-0.14224125956213207,0
2016-08-31,0.013402067881672095,-0.12913530311446147,-0.1478211935413127,0
2016-09-30,0.00022629974680071356,-0.11472212110831351,-0.12781235743525066,0
2016-10-31,0.012908513959646858,-0.11331387750060166,-0.1261086031308196,0
2016-11-30,-0.0034331472368199297,-0.10923176178910846,-0.12166753453254067,0
2016-12-31,0.06707882354968071,-0.10908131453369774,-0.1214561270781831,0
2017-01-31,-0.009738846580783632,-0.11201527131208583,-0.12460715007974416,0
2017-02-28,0.02583834622135729,-0.11015129080972384,-0.12264127441835146,0
2017-03-31,0.05272171587580648,-0.10945769104923914,-0.12189453539807069,0
2017-04-30,0.022719621450942248,-0.11136163494968064,-0.12392241936445222,0
2017-05-31,0.015797955797474145,-0.11059913345919453,-0.12291219708571746,0
2017-06-30,-0.02549074207089391,-0.1081217756064487,-0.11994912339555078,0
2017-07-31,0.003582268599038094,-0.1060164271028314,-0.11776212322149962,0
2017-08-31,-0.004536826251384204,-0.10541981371297052,-0.11714383077658229,0
2017-09-30,0.04337988734191262,-0.1042724585936731,-0.115945997116147,0
2017-10-31,0.023843346135484608,-0.105451243760541,-0.1172060720933654,0
2017-11-30,-0.020371077331559233,-0.1056621936764238,-0.11742799321325065,0
2017-12-31,-0.00881586803787785,-0.10518134805375393,-0.11698625421022663,0
2018-01-31,0.03159305637873835,-0.10469520636508442,-0.11650639579733255,0
2018-02-28,-0.038636683616016965,-0.10477375681996695,-0.116590722008392,0
2018-03-31,-0.021173516914004705,-0.10536790080665426,-0.1173201396501937,0
2018-04-30,0.04741075708476891,-0.10544744651073676,-0.11745484940744942,0
2018-05-31,-0.014728954825606782,-0.10638665662162985,-0.11847160995636502,0
2018-06-30,-0.008815425936534648,-0.10555541075432216,-0.11763351559024128,0
