,r,VaR,ES,hit
2007-02-28,-0.022088305664389823,-0.07140283842680606,-0.07967278924193108,0
2007-03-31,0.009930483915285941,-0.07098854745399441,-0.07920989316329606,0
2007-04-30,0.0423798362376053,-0.06937299565612985,-0.07744955928507843,0
2007-05-31,0.032030723748061214,-0.07188344834140988,-0.08005177495505313,0
2007-06-30,-0.017976930819991094,-0.07308310153606049,-0.0813144793233499,0
2007-07-31,-0.03249762928770023,-0.07213343268907266,-0.0801311668642593,0
2007-08-31,0.012774687511792344,-0.07192742417854375,-0.07979803002533889,0
2007-09-30,0.03516828363749106,-0.07134050495423257,-0.07912291164622194,0
2007-10-31,0.014713557788708606,-0.07138150961970502,-0.0788585980308163,0
2007-11-30,-0.04504278936941616,-0.06783087682370068,-0.07501171239760213,0
2007-12-31,-0.00866592980480183,-0.0678610091889407,-0.07525119628119604,0
2008-01-31,-0.06311390960227695,-0.06691739529252198,-0.07408221754220945,0
2008-02-29,-0.035379707842082095,-0.07177752217263574,-0.07961104165558004,0
2008-03-31,-0.005977412241373905,-0.07238764816738585,-0.08033333326067088,0
2008-04-30,0.04645093966005638,-0.07120912838068207,-0.07903942944002308,0
2008-05-31,0.010617586652650165,-0.07156383964215887,-0.0795020552375234,0
2008-06-30,-0.0898835504310454,-0.06949112654563207,-0.07725479674994075,1
2008-07-31,-0.009908300486456212,-0.07861168623456594,-0.08770155774934728,0
2008-08-31,0.012116797460712942,-0.07713593813902833,-0.08609788273484822,0
2008-09-30,-0.09518078677437536,-0.07607212689197115,-0.08491496636735635,1
2008-10-31,-0.18563648644598751,-0.08530397518726607,-0.09544990209162492,1
2008-11-30,-0.07779834641708887,-0.11439315394795094,-0.12859820115494044,0
2008-12-31,0.007791135777281755,-0.11638893674977241,-0.1310125763524871,0
2009-01-31,-0.08954988551107096,-0.11360923833949754,-0.12797708959139786,0
2009-02-28,-0.11645654382051443,-0.11674883925089692,-0.13172020179622707,0
2009-03-31,0.08195273621464377,-0.12349680006604129,-0.13955933184113808,0
2009-04-30,0.0897722149209695,-0.12821205029037194,-0.14465189687934893,0
2009-05-31,0.051720558420882315,-0.13387784794446375,-0.15079479157452524,0
2009-06-30,0.00019581606407012827,-0.13438671700461494,-0.151284870536279,0
2009-07-31,0.07152197708889191,-0.131974244803238,-0.1486123947443173,0
2009-08-31,0.033019119266079075,-0.13531663557611573,-0.15214731941146736,0
2009-09-30,0.03509030623800369,-0.13455645019702672,-0.15123097530903393,0
2009-10-31,-0.019950214529016633,-0.13383475467066497,-0.1503679990834679,0
2009-11-30,0.05576936488964601,-0.13150905012194603,-0.14782614447398598,0
2009-12-31,0.017614546700982087,-0.131968468170218,-0.14830533048713498,0
2010-01-31,-0.037675141059320766,-0.12982863709379078,-0.14593219477818825,0
2010-02-28,0.028114744036660498,-0.12865232940554103,-0.14463619096618766,0
2010-03-31,0.05713276064548312,-0.12740856938857098,-0.14322058816616764,0
2010-04-30,0.014651468311863144,-0.1292238671452065,-0.1451023260047055,0
2010-05-31,-0.08553165363377013,-0.12796688805016257,-0.14361956571706813,0
2010-06-30,-0.05538838013237662,-0.12968381600088993,-0.14578251723189342,0
2010-07-31,0.06651578327458964,-0.12912249464764292,-0.14526530826686912,0
2010-08-31,-0.048611803170382606,-0.13085912117276657,-0.14715128786552795,0
2010-09-30,0.0839284750952826,-0.1300017484976532,-0.14626504197756138,0
2010-10-31,0.036193000710687595,-0.13454173499436495,-0.15120469475887205,0
2010-11-30,-0.002292909487060143,-0.13432447869362735,-0.15085013268248557,0
2010-12-31,0.06325651722192606,-0.13153425366969287,-0.14779289973817922,0
2011-01-31,0.02239298525651701,-0.13361918915186094,-0.1500023742737901,0
2011-02-28,0.031456595040144836,-0.13185767266588513,-0.1480303262963405,0
2011-03-31,-0.0010478506829378123,-0.13113933763479613,-0.14716040202567898,0
2011-04-30,0.02809691636712916,-0.12895118002912043,-0.14472835300974368,0
2011-05-31,-0.013592893899637262,-0.1278750947564843,-0.14348751160664483,0
2011-06-30,-0.01842623330189754,-0.12627000022930623,-0.14164899837132244,0
2011-07-31,-0.021708367435427242,-0.1243409401433229,-0.1395210604435552,0
2011-08-31,-0.05846749161912042,-0.12240609479478304,-0.1374035397239292,0
2011-09-30,-0.0744671275427831,-0.121970470131375,-0.13707710195130546,0
2011-10-31,0.10230659165059017,-0.12285933203690982,-0.13827700736466217,0
2011-11-30,-0.005071483436680982,-0.1301823799755114,-0.14635297088557758,0
