,r,VaR,ES,hit
2007-02-28,-0.022088305664389823,-0.11656116844786664,-0.11656116844786664,0
2007-03-31,0.009930483915285941,-0.11656116844786664,-0.11656116844786664,0
2007-04-30,0.0423798362376053,-0.11656116844786664,-0.11656116844786664,0
2007-05-31,0.032030723748061214,-0.11656116844786664,-0.11656116844786664,0
2007-06-30,-0.017976930819991094,-0.11656116844786664,-0.11656116844786664,0
2007-07-31,-0.03249762928770023,-0.11656116844786664,-0.11656116844786664,0
2007-08-31,0.012774687511792344,-0.11656116844786664,-0.11656116844786664,0
2007-09-30,0.03516828363749106,-0.11656116844786664,-0.11656116844786664,0
2007-10-31,0.014713557788708606,-0.062229277129875436,-0.062229277129875436,0
2007-11-30,-0.04504278936941616,-0.062229277129875436,-0.062229277129875436,0
2007-12-31,-0.00866592980480183,-0.062229277129875436,-0.062229277129875436,0
2008-01-31,-0.06311390960227695,-0.04504278936941616,-0.04504278936941616,1
2008-02-29,-0.035379707842082095,-0.06311390960227695,-0.06311390960227695,0
2008-03-31,-0.005977412241373905,-0.06311390960227695,-0.06311390960227695,0
2008-04-30,0.04645093966005638,-0.06311390960227695,-0.06311390960227695,0
2008-05-31,0.010617586652650165,-0.06311390960227695,-0.06311390960227695,0
2008-06-30,-0.0898835504310454,-0.06311390960227695,-0.06311390960227695,1
2008-07-31,-0.009908300486456212,-0.0898835504310454,-0.0898835504310454,0
2008-08-31,0.012116797460712942,-0.0898835504310454,-0.0898835504310454,0
2008-09-30,-0.09518078677437536,-0.0898835504310454,-0.0898835504310454,1
2008-10-31,-0.18563648644598751,-0.09518078677437536,-0.09518078677437536,1
2008-11-30,-0.07779834641708887,-0.18563648644598751,-0.18563648644598751,0
2008-12-31,0.007791135777281755,-0.18563648644598751,-0.18563648644598751,0
2009-01-31,-0.08954988551107096,-0.18563648644598751,-0.18563648644598751,0
2009-02-28,-0.11645654382051443,-0.18563648644598751,-0.18563648644598751,0
2009-03-31,0.08195273621464377,-0.18563648644598751,-0.18563648644598751,0
2009-04-30,0.0897722149209695,-0.18563648644598751,-0.18563648644598751,0
2009-05-31,0.051720558420882315,-0.18563648644598751,-0.18563648644598751,0
2009-06-30,0.00019581606407012827,-0.18563648644598751,-0.18563648644598751,0
2009-07-31,0.07152197708889191,-0.18563648644598751,-0.18563648644598751,0
2009-08-31,0.033019119266079075,-0.18563648644598751,-0.18563648644598751,0
2009-09-30,0.03509030623800369,-0.18563648644598751,-0.18563648644598751,0
2009-10-31,-0.019950214529016633,-0.18563648644598751,-0.18563648644598751,0
2009-11-30,0.05576936488964601,-0.18563648644598751,-0.18563648644598751,0
2009-12-31,0.017614546700982087,-0.18563648644598751,-0.18563648644598751,0
2010-01-31,-0.037675141059320766,-0.18563648644598751,-0.18563648644598751,0
2010-02-28,0.028114744036660498,-0.18563648644598751,-0.18563648644598751,0
2010-03-31,0.05713276064548312,-0.18563648644598751,-0.18563648644598751,0
2010-04-30,0.014651468311863144,-0.18563648644598751,-0.18563648644598751,0
2010-05-31,-0.08553165363377013,-0.18563648644598751,-0.18563648644598751,0
2010-06-30,-0.05538838013237662,-0.18563648644598751,-0.18563648644598751,0
2010-07-31,0.06651578327458964,-0.18563648644598751,-0.18563648644598751,0
2010-08-31,-0.048611803170382606,-0.18563648644598751,-0.18563648644598751,0
2010-09-30,0.0839284750952826,-0.18563648644598751,-0.18563648644598751,0
2010-10-31,0.036193000710687595,-0.18563648644598751,-0.18563648644598751,0
2010-11-30,-0.002292909487060143,-0.18563648644598751,-0.18563648644598751,0
2010-12-31,0.06325651722192606,-0.18563648644598751,-0.18563648644598751,0
2011-01-31,0.02239298525651701,-0.18563648644598751,-0.18563648644598751,0
2011-02-28,0.031456595040144836,-0.18563648644598751,-0.18563648644598751,0
2011-03-31,-0.0010478506829378123,-0.18563648644598751,-0.18563648644598751,0
2011-04-30,0.02809691636712916,-0.18563648644598751,-0.18563648644598751,0
2011-05-31,-0.013592893899637262,-0.18563648644598751,-0.18563648644598751,0
2011-06-30,-0.01842623330189754,-0.18563648644598751,-0.18563648644598751,0
2011-07-31,-0.021708367435427242,-0.18563648644598751,-0.18563648644598751,0
2011-08-31,-0.05846749161912042,-0.18563648644598751,-0.18563648644598751,0
2011-09-30,-0.0744671275427831,-0.18563648644598751,-0.18563648644598751,0
2011-10-31,0.10230659165059017,-0.18563648644598751,-0.18563648644598751,0
2011-11-30,-0.005071483436680982,-0.18563648644598751,-0.18563648644598751,0
2011-12-31,0.008504505116476225,-0.18563648644598751,-0.18563648644598751,0
2012-01-31,0.04265204738880785,-0.18563648644598751,-0.18563648644598751,0
2012-02-29,0.039787331386417914,-0.18563648644598751,-0.18563648644598751,0
2012-03-31,0.030851535762571346,-0.18563648644598751,-0.18563648644598751,0
2012-04-30,-0.007525744796048625,-0.18563648644598751,-0.18563648644598751,0
2012-05-31,-0.06469925017046924,-0.18563648644598751,-0.18563648644598751,0
2012-06-30,0.038792661243837456,-0.18563648644598751,-0.18563648644598751,0
2012-07-31,0.012518948972710817,-0.18563648644598751,-0.18563648644598751,0
2012-08-31,0.019570602004381984,-0.18563648644598751,-0.18563648644598751,0
2012-09-30,0.02394705705020073,-0.18563648644598751,-0.18563648644598751,0
2012-10-31,-0.019987836058499683,-0.18563648644598751,-0.18563648644598751,0
2012-11-30,0.0028426587376603443,-0.18563648644598751,-0.18563648644598751,0
2012-12-31,0.007043447111457518,-0.18563648644598751,-0.18563648644598751,0
2013-01-31,0.049197760692578335,-0.18563648644598751,-0.18563648644598751,0
2013-02-28,0.010999881888155871,-0.18563648644598751,-0.18563648644598751,0
2013-03-31,0.03535536713008354,-0.18563648644598751,-0.18563648644598751,0
2013-04-30,0.01792416211692459,-0.18563648644598751,-0.18563648644598751,0
2013-05-31,0.02055017475157647,-0.18563648644598751,-0.18563648644598751,0
2013-06-30,-0.015112952997701294,-0.18563648644598751,-0.18563648644598751,0
2013-07-31,0.04827775787697368,-0.18563648644598751,-0.18563648644598751,0
2013-08-31,-0.03179826168331884,-0.18563648644598751,-0.18563648644598751,0
2013-09-30,0.029315544388002535,-0.18563648644598751,-0.18563648644598751,0
2013-10-31,0.043629977912082465,-0.18563648644598751,-0.18563648644598751,0
2013-11-30,0.027663279564206007,-0.11645654382051443,-0.11645654382051443,0
2013-12-31,0.02328951485450324,-0.11645654382051443,-0.11645654382051443,0
2014-01-31,-0.03623139652694681,-0.11645654382051443,-0.11645654382051443,0
2014-02-28,0.04221338215754876,-0.11645654382051443,-0.11645654382051443,0
2014-03-31,0.006908240422563322,-0.08553165363377013,-0.08553165363377013,0
2014-04-30,0.006181651028472133,-0.08553165363377013,-0.08553165363377013,0
2014-05-31,0.020812198017934665,-0.08553165363377013,-0.08553165363377013,0
2014-06-30,0.01887897875478642,-0.08553165363377013,-0.08553165363377013,0
2014-07-31,-0.015194720363435775,-0.08553165363377013,-0.08553165363377013,0
2014-08-31,0.03696366960697851,-0.08553165363377013,-0.08553165363377013,0
2014-09-30,-0.01563545834824645,-0.08553165363377013,-0.08553165363377013,0
2014-10-31,0.0229363944395255,-0.08553165363377013,-0.08553165363377013,0
2014-11-30,0.02423746941943873,-0.08553165363377013,-0.08553165363377013,0
2014-12-31,-0.004197308450286825,-0.08553165363377013,-0.08553165363377013,0
2015-01-31,-0.03153282180262603,-0.08553165363377013,-0.08553165363377013,0
2015-02-28,0.053438871430552516,-0.08553165363377013,-0.08553165363377013,0
2015-03-31,-0.017549145486384792,-0.08553165363377013,-0.08553165363377013,0
2015-04-30,0.008484665914449642,-0.08553165363377013,-0.08553165363377013,0
2015-05-31,0.010436785331839957,-0.08553165363377013,-0.08553165363377013,0
2015-06-30,-0.021235661913586588,-0.0744671275427831,-0.0744671275427831,0
2015-07-31,0.019549693281665254,-0.0744671275427831,-0.0744671275427831,0
2015-08-31,-0.06462471645113466,-0.0744671275427831,-0.0744671275427831,0
2015-09-30,-0.0267987189877159,-0.0744671275427831,-0.0744671275427831,0
2015-10-31,0.07971934314092276,-0.0744671275427831,-0.0744671275427831,0
2015-11-30,0.000504835614613225,-0.0744671275427831,-0.0744671275427831,0
2015-12-31,-0.017685671969978563,-0.0744671275427831,-0.0744671275427831,0
2016-01-31,-0.05206764093935223,-0.0744671275427831,-0.0744671275427831,0
2016-02-29,-0.004136900440057719,-0.0744671275427831,-0.0744671275427831,0
2016-03-31,0.06390498491988238,-0.0744671275427831,-0.0744671275427831,0
2016-04-30,0.0026957330678163125,-0.0744671275427831,-0.0744671275427831,0
2016-05-31,0.015213182557527833,-0.0744671275427831,-0.0744671275427831,0
2016-06-30,0.0009056633172390907,-0.0744671275427831,-0.0744671275427831,0
2016-07-31,0.03499043894376667,-0.0744671275427831,-0.0744671275427831,0
2016-08-31,-0.001219919360414707,-0.0744671275427831,-0.0744671275427831,0
2016-09-30,-0.0012352452011046586,-0.0744671275427831,-0.0744671275427831,0
2016-10-31,-0.019616782104688858,-0.06469925017046924,-0.06469925017046924,0
2016-11-30,0.033603472465471074,-0.06469925017046924,-0.06469925017046924,0
2016-12-31,0.018037103051757427,-0.06469925017046924,-0.06469925017046924,0
2017-01-31,0.01772629809300964,-0.06469925017046924,-0.06469925017046924,0
2017-02-28,0.036523097609435645,-0.06469925017046924,-0.06469925017046924,0
2017-03-31,-0.0003893059401398051,-0.06469925017046924,-0.06469925017046924,0
