,r,VaR,ES,hit
2007-02-28,-0.022088305664389823,-0.14421975620903676,-0.21393505138212887,0
2007-03-31,0.009930483915285941,-0.1439973210434409,-0.2132537670104478,0
2007-04-30,0.0423798362376053,-0.14986989083580562,-0.2317827782440051,0
2007-05-31,0.032030723748061214,-0.1436368204281576,-0.21746013110633247,0
2007-06-30,-0.017976930819991094,-0.1453184366381292,-0.21967664230087794,0
2007-07-31,-0.03249762928770023,-0.13009909214993784,-0.1865766875889324,0
2007-08-31,0.012774687511792344,-0.11402815234546866,-0.15256510937417525,0
2007-09-30,0.03516828363749106,-0.1144375551906344,-0.15322303205604781,0
2007-10-31,0.014713557788708606,-0.08619431435587038,-0.09943715376207421,0
2007-11-30,-0.04504278936941616,-0.07845591243578995,-0.08888406700433038,0
2007-12-31,-0.00866592980480183,-0.07744632828772229,-0.08797602786236092,0
2008-01-31,-0.06311390960227695,-0.07125108264318702,-0.07894777236599056,0
2008-02-29,-0.035379707842082095,-0.07891267150248257,-0.09094802864397852,0
2008-03-31,-0.005977412241373905,-0.07868171699284196,-0.08997147969852494,0
2008-04-30,0.04645093966005638,-0.07789794925384258,-0.08866620094127678,0
2008-05-31,0.010617586652650165,-0.07112092719786091,-0.07900479968383266,0
2008-06-30,-0.0898835504310454,-0.0688668279390493,-0.07655386676614505,1
2008-07-31,-0.009908300486456212,-0.08697575799154177,-0.1055481303667372,0
2008-08-31,0.012116797460712942,-0.08530824826424778,-0.10273710287658758,0
2008-09-30,-0.09518078677437536,-0.08528866766948622,-0.10290192028056333,1
2008-10-31,-0.18563648644598751,-0.10289363529304575,-0.1339475465775614,1
2008-11-30,-0.07779834641708887,-0.14643566348034195,-0.23383247439426552,0
2008-12-31,0.007791135777281755,-0.15411056822686633,-0.24681744312569004,0
2009-01-31,-0.08954988551107096,-0.15572796006414188,-0.25736933908634896,0
2009-02-28,-0.11645654382051443,-0.16730455225400662,-0.28194459010988376,0
2009-03-31,0.08195273621464377,-0.18804956675806947,-0.3314178029501071,0
2009-04-30,0.0897722149209695,-0.2079826471874741,-0.38322099686177713,0
2009-05-31,0.051720558420882315,-0.2334417417562815,-0.4561484163673551,0
2009-06-30,0.00019581606407012827,-0.22186178722763317,-0.40610763851701126,0
2009-07-31,0.07152197708889191,-0.22019461100270377,-0.4026260199512208,0
2009-08-31,0.033019119266079075,-0.23646417984056653,-0.4501147076611407,0
2009-09-30,0.03509030623800369,-0.22941330537461083,-0.42018295146970275,0
2009-10-31,-0.019950214529016633,-0.22126076101322997,-0.3886340213077827,0
2009-11-30,0.05576936488964601,-0.20718698453958612,-0.3446766271910282,0
2009-12-31,0.017614546700982087,-0.20610027062245848,-0.3385195324331061,0
2010-01-31,-0.037675141059320766,-0.21066701271018085,-0.3543249949374281,0
2010-02-28,0.028114744036660498,-0.2089158973766871,-0.3471670338004434,0
2010-03-31,0.05713276064548312,-0.2058669309646645,-0.3368199113491701,0
2010-04-30,0.014651468311863144,-0.20998677948844802,-0.34240846814108006,0
2010-05-31,-0.08553165363377013,-0.22634638798020454,-0.392653768878967,0
2010-06-30,-0.05538838013237662,-0.22647802043739967,-0.3833492628135684,0
2010-07-31,0.06651578327458964,-0.2052584843059706,-0.31707187658391656,0
2010-08-31,-0.048611803170382606,-0.19972406676302304,-0.2987726155818364,0
2010-09-30,0.0839284750952826,-0.1843134474276178,-0.25862638167092555,0
2010-10-31,0.036193000710687595,-0.17909515814528404,-0.2407875282848307,0
2010-11-30,-0.002292909487060143,-0.18455828552110898,-0.25098114958713136,0
2010-12-31,0.06325651722192606,-0.18456480336576875,-0.2529375118451416,0
2011-01-31,0.02239298525651701,-0.17951542502007634,-0.23763183609609234,0
2011-02-28,0.031456595040144836,-0.1797791302710404,-0.23836415153484874,0
2011-03-31,-0.0010478506829378123,-0.18037381953018408,-0.23824635014197315,0
2011-04-30,0.02809691636712916,-0.17839055212996635,-0.2343157465662411,0
2011-05-31,-0.013592893899637262,-0.17795266571669116,-0.2325908669844654,0
2011-06-30,-0.01842623330189754,-0.1842685738331849,-0.2466985281053658,0
2011-07-31,-0.021708367435427242,-0.1783615595358357,-0.23387474439251266,0
2011-08-31,-0.05846749161912042,-0.1721057898803466,-0.2208539426331374,0
2011-09-30,-0.0744671275427831,-0.16166768938029413,-0.19963422159689886,0
2011-10-31,0.10230659165059017,-0.15404821426378792,-0.18484509817554315,0
2011-11-30,-0.005071483436680982,-0.15721326802261443,-0.18706742448720576,0
2011-12-31,0.008504505116476225,-0.1564382477183443,-0.1861018334857482,0
2012-01-31,0.04265204738880785,-0.15634716395429415,-0.18603490166815825,0
2012-02-29,0.039787331386417914,-0.1562107507678969,-0.18479363157723816,0
2012-03-31,0.030851535762571346,-0.1582985553923298,-0.18725583773852156,0
2012-04-30,-0.007525744796048625,-0.1585575915275967,-0.18713540051079067,0
2012-05-31,-0.06469925017046924,-0.1575447383061693,-0.1866162547738407,0
2012-06-30,0.038792661243837456,-0.15258636444037882,-0.17823627621633872,0
2012-07-31,0.012518948972710817,-0.15413685478007813,-0.17978120098500663,0
2012-08-31,0.019570602004381984,-0.1567840819381639,-0.18405118125393613,0
2012-09-30,0.02394705705020073,-0.1569195229382625,-0.18412530099001775,0
2012-10-31,-0.019987836058499683,-0.15691246971373474,-0.18446783499347677,0
2012-11-30,0.0028426587376603443,-0.15510904337806877,-0.181738070505515,0
2012-12-31,0.007043447111457518,-0.15895711437319948,-0.18855292212325717,0
2013-01-31,0.049197760692578335,-0.15994381178197892,-0.1901025784611935,0
2013-02-28,0.010999881888155871,-0.16738930794421605,-0.2028613510318435,0
2013-03-31,0.03535536713008354,-0.17486576745639787,-0.2170817581294041,0
2013-04-30,0.01792416211692459,-0.17714225129865843,-0.22032778094885946,0
2013-05-31,0.02055017475157647,-0.1790494056433123,-0.2254344085999565,0
2013-06-30,-0.015112952997701294,-0.1795430442251381,-0.22609181502802017,0
2013-07-31,0.04827775787697368,-0.18640421687109182,-0.2438355241364634,0
2013-08-31,-0.03179826168331884,-0.18903309934308143,-0.2471540308994209,0
2013-09-30,0.029315544388002535,-0.17824556451294005,-0.22459576570111234,0
2013-10-31,0.043629977912082465,-0.18456216457593033,-0.24088536987452167,0
2013-11-30,0.027663279564206007,-0.13217954796843012,-0.14810408694305466,0
2013-12-31,0.02328951485450324,-0.14328088833690916,-0.16829462451015864,0
2014-01-31,-0.03623139652694681,-0.14446937526221887,-0.17017176959434271,0
2014-02-28,0.04221338215754876,-0.13780539013902765,-0.1602988361194641,0
2014-03-31,0.006908240422563322,-0.12026696089758347,-0.13312852128277963,0
2014-04-30,0.006181651028472133,-0.11664639080314876,-0.12921708365729492,0
2014-05-31,0.020812198017934665,-0.11513664281585365,-0.12931946246287682,0
2014-06-30,0.01887897875478642,-0.11687823191093837,-0.13319140743985122,0
2014-07-31,-0.015194720363435775,-0.118679938951429,-0.13612684255425705,0
2014-08-31,0.03696366960697851,-0.11647644224815518,-0.13444432948092597,0
2014-09-30,-0.01563545834824645,-0.11617407406520794,-0.13377337051620017,0
2014-10-31,0.0229363944395255,-0.11284143819805757,-0.12857657111306398,0
2014-11-30,0.02423746941943873,-0.117721968085573,-0.13697172292097648,0
2014-12-31,-0.004197308450286825,-0.12065690850826374,-0.14374516338897692,0
2015-01-31,-0.03153282180262603,-0.11786908208949816,-0.13881539655311065,0
2015-02-28,0.053438871430552516,-0.11850513763939793,-0.14020638308333938,0
2015-03-31,-0.017549145486384792,-0.11639523242450328,-0.13523012583236071,0
2015-04-30,0.008484665914449642,-0.1143621025987707,-0.1332644278158642,0
2015-05-31,0.010436785331839957,-0.11407488244869131,-0.1328543469373678,0
2015-06-30,-0.021235661913586588,-0.10787524551949018,-0.12432176734364246,0
2015-07-31,0.019549693281665254,-0.10735199414107026,-0.12460003058892351,0
2015-08-31,-0.06462471645113466,-0.1078583656430409,-0.12783899971751528,0
2015-09-30,-0.0267987189877159,-0.11178919936027401,-0.13448754085931167,0
2015-10-31,0.07971934314092276,-0.10376764981767542,-0.12263139888355605,0
2015-11-30,0.000504835614613225,-0.10711029793274086,-0.12642599546619507,0
2015-12-31,-0.017685671969978563,-0.1073934448677277,-0.12694952464350898,0
2016-01-31,-0.05206764093935223,-0.10499313927611764,-0.1248898792766332,0
2016-02-29,-0.004136900440057719,-0.10224495955257859,-0.11901594763384188,0
2016-03-31,0.06390498491988238,-0.10189633972746967,-0.11924225421773091,0
2016-04-30,0.0026957330678163125,-0.10211117022109656,-0.11717701768833702,0
2016-05-31,0.015213182557527833,-0.10213055512837063,-0.11781674157804767,0
2016-06-30,0.0009056633172390907,-0.10375729396768706,-0.1205260880173292,0
2016-07-31,0.03499043894376667,-0.10587771524082569,-0.12451252003763229,0
2016-08-31,-0.001219919360414707,-0.10865409914109467,-0.12889181257065524,0
2016-09-30,-0.0012352452011046586,-0.10986181609286219,-0.13322374107179766,0
2016-10-31,-0.019616782104688858,-0.10322876909217737,-0.1234530118395527,0
2016-11-30,0.033603472465471074,-0.08705851141461131,-0.09822501295280742,0
2016-12-31,0.018037103051757427,-0.08777621426883359,-0.09878329364200679,0
2017-01-31,0.01772629809300964,-0.08798444479498962,-0.09898616521856228,0
2017-02-28,0.036523097609435645,-0.08854428436456972,-0.10076235060636113,0
2017-03-31,-0.0003893059401398051,-0.0886448102527464,-0.10107430733328959,0
2017-04-30,0.009050140558437409,-0.08823722017912045,-0.10101192551307649,0
2017-05-31,0.011509718385591177,-0.08957248537268901,-0.10331968587867446,0
2017-06-30,0.004802282553352028,-0.08510303080776131,-0.09726014145977456,0
2017-07-31,0.019163961513693484,-0.08546511840599579,-0.09897378154195018,0
2017-08-31,0.0005463430563159147,-0.08544830915912252,-0.09877032350539938,0
2017-09-30,0.01911895720324887,-0.08490238449212659,-0.0980950796618098,0
2017-10-31,0.02194559887830511,-0.08505476873038527,-0.09854281833268085,0
2017-11-30,0.027695515330648682,-0.08763886394239603,-0.1032751662155028,0
2017-12-31,0.009783603904362663,-0.08779129436271488,-0.10290332641301858,0
2018-01-31,0.05465741778702495,-0.08795287505105823,-0.10316774864177537,0
2018-02-28,-0.0397261156359207,-0.08835743791317285,-0.10360165645677175,0
2018-03-31,-0.02725251295379243,-0.08576142561662832,-0.09791619938434047,0
2018-04-30,0.002715111747128934,-0.08344545687201582,-0.09430180531761224,0
2018-05-31,0.021378202402637565,-0.08314609727701298,-0.09401540391057668,0
2018-06-30,0.004830713496801861,-0.08312661708645817,-0.09395818599314128,0
2018-07-31,0.03538797997679926,-0.08478799938203416,-0.09695929333253729,0
2018-08-31,0.029814321663194848,-0.08503967095740893,-0.09806571544261705,0
2018-09-30,0.004285106720321905,-0.08810178663943116,-0.10365941445718946,0
2018-10-31,-0.0719293490556602,-0.08840929751108287,-0.10501725980108867,0
2018-11-30,0.017701776759294796,-0.09931160207142456,-0.12529962534213354,0
2018-12-31,-0.09626528711807607,-0.10064435660749937,-0.12870823582511448,0
2019-01-31,0.07574215482837561,-0.12086365589240802,-0.16909121116263162,0
2019-02-28,0.029295592986693514,-0.132107989596102,-0.19308868567399987,0
2019-03-31,0.017765541837019908,-0.1344323876349183,-0.20073013924453595,0
2019-04-30,0.03856033644309039,-0.13431020726364137,-0.19965352425861277,0
2019-05-31,-0.0680408888532043,-0.1297670132016797,-0.1850893506029732,0
2019-06-30,0.06665831953424144,-0.13326332027399376,-0.1888544992912583,0
2019-07-31,0.013042767473010496,-0.13041869931938782,-0.1775864200969853,0
2019-08-31,-0.018257307714875135,-0.139276763446387,-0.19908227900118497,0
2019-09-30,0.01703524052367768,-0.13485559201415306,-0.1899522804083587,0
